rma,part_no,part_description,vie_name
FMSV2023030040,898Y201120C,FSB A,Vỏ ống dẫn
FMSV2023030040,379N120028_,HEAT CONDUCTION SHEET,Bộ tản nhiệt
FMSV2023030040,113Y120085G,LD PCB ASSY,Bo mạch
FMSV2023030040,375N130001_,PACKING LG COVER(S),Vòng nhựa
FMSV2023030041,342A979721A,BSA-G166A,Bộ phận uốn cong
FMSV2023030041,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023030041,370Y200600_,AIR TUBE,Kênh khí
FMSV2023030041,370Y200595_,WATER TUBE,Kênh nước
FMSV2023030041,12A1333617B,MAIN COVER,Vỏ nhựa
FMSV2023030041,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023030041,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023030069,848Y200206B,CHA-C741A,Đầu thu hình
FMSV2023030069,606Y200049B,LGB-C741A,Dây dẫn sáng
FMSV2023030069,830Y200200D,BSA-C741A,Bộ phận uốn cong
FMSV2023030069,347N130337_,HANGING SLEEVE,Ống nối (đồng)
FMSV2023030069,898Y201120C,FSB A,Vỏ ống dẫn
FMSV2023030069,372N200106A,FCT RING,Vòng sắt
FMSV2023030069,370Y200510B,FCT-C741A,Kênh sinh thiết
FMSV2023030069,370Y200615A,AWT-C740A,Kênh khí nước
FMSV2023030069,68A1336495A,J TUBE,Kênh nước phụ
FMSV2023030079,113Y200042C,MAIN PCB,Bo mạch chính
FMSV2023030079,142K1294530,HEAT SINK ASSY,Bộ tản nhiệt
FMSV2023040070,110A1288747F,AFE PCB  FG388A,Bo mạch
FMSV2023040070,110A1288740H,MICON PCB  FG388A-6       ROHS,
FMSV2023050045L,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023050045L,68B12078100,RUBBER FOR BSA,Vỏ cao su
FMSV2023050072,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023050072,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023050072,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023050072,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023050072,68B12541530,FCT RING,Vòng sắt
FMSV2023050072,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023050072,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023050072,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023050072,371Y200079B,NOZZLE,Vòi phun
FMSV2023050072,317Y200047B,CAP,Nắp nhựa
FMSV2023060047,113Y120087L,SC600 FPGA PCB ASSY,Bo mạch
FMSV2023060047,113Y120086P,SC600 MCU PCB ASSY,Bo mạch
FMSV2023060047,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2023060047,494N200001_,DETECTING WATERSEAL L=10P ROHS,Giấy phát hiện chất lỏng
FMSV2023060068,342A979721F,BSA-G166A,Bộ phận uốn cong
FMSV2023060068,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023060068,57A12657080,CAP +UV ROHS,Nắp nhựa
FMSV2023060068,371Y200081_,NOZZLE,Vòi phun
FMSV2023060068,370Y200577A,FCT-G76D,Kênh sinh thiết
FMSV2023060068,68B12655070,RING,Vòng sắt
FMSV2023060068,370Y200600_,AIR TUBE,Kênh khí
FMSV2023060068,370Y200595_,WATER TUBE,Kênh nước
FMSV2023060068,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023060068,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023070056,370Y200577A,FCT-G76D,Kênh sinh thiết
FMSV2023070056,68B12655070,RING,Vòng sắt
FMSV2023070056,370Y200600_,AIR TUBE,Kênh khí
FMSV2023070056,370Y200595_,WATER TUBE,Kênh nước
FMSV2023070056,23B1021211A,ISA RING 2,Vòng sắt
FMSV2023070056,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023070056,68A921163H,FSA-G166A,Vỏ ống luồn
FMSV2023070056,342A979721A,BSA-G166A,Bộ phận uốn cong
FMSV2023070056,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023070056,343A1331615E,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023070056,56B11069912,BELT,dây đai
FMSV2023070056,57A1235205C,AIRTIGHT CAP,Nắp chống nước
FMSV2023070056,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023070056,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023070077,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023070077,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023070077,56B11069912,BELT,dây đai
FMSV2023080002,113Y200042C,MAIN PCB,Bo mạch chính
FMSV2023080002,142K1294530,HEAT SINK ASSY,Bộ tản nhiệt
FMSV2023080008,10A12305720,CAMERA HEAD ASS''Y,Đầu thu hình
FMSV2023080008,57A12657080,CAP +UV ROHS,Nắp nhựa
FMSV2023080008,371Y200081_,NOZZLE,Vòi phun
FMSV2023080008,342A979721F,BSA-G166A,Bộ phận uốn cong
FMSV2023080008,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023080008,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023080008,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023080008,343A1331615E,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023080014,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023080014,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023080014,68A1296102E,FSA-G391A,Vỏ ống luồn
FMSV2023080014,23B1276136A,ISA RING 2,Vòng sắt
FMSV2023080014,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023080014,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023080014,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023080014,68B12541530,FCT RING,Vòng sắt
FMSV2023080014,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023080014,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023080014,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023080014,371Y200079B,NOZZLE,Vòi phun
FMSV2023080014,317Y200047B,CAP,Nắp nhựa
FMSV2023080014,56A1021415A,WIRE ASSY(D) DWA-615      ROHS,Dây cáp thép
FMSV2023080014,56A1021298A,WIRE ASSY(U) DWA-670      ROHS,Dây cáp thép
FMSV2023080014,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023080014,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023080014,56B11069912,BELT,dây đai
FMSV2023080014,16A1327739D,LR LOCK KNOB,Khóa điều khiển
FMSV2023080015,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023080015,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023080015,68A1296102E,FSA-G391A,Vỏ ống luồn
FMSV2023080015,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023080015,23B1276136A,ISA RING 2,Vòng sắt
FMSV2023080015,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023080015,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023080015,68B12541530,FCT RING,Vòng sắt
FMSV2023080015,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023080015,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023080015,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023080015,57A1235205C,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023080015,56B11069912,BELT,dây đai
FMSV2023080015,57A1235205B,AIRTIGHT CAP              ROHS,Nắp chống nước
FMSV2023080016,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2023080016,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023080016,68A1295935A,FLEXIBLE SECTION ASSY,Vỏ ống luồn
FMSV2023080016,23B8087081,ISA RING 2,Vòng sắt
FMSV2023080016,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023080016,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023080016,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023080016,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2023080016,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023080016,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023080016,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023080016,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023080016,121A1327224H,MM SWITCH,Nút nhấn
FMSV2023080018,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023080018,68B1235415A,FCT RING,Vòng sắt
FMSV2023080018,68A1304877A,FCT-C692A,Kênh sinh thiết
FMSV2023080018,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2023080018,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023080018,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2023080018,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023080018,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023080018,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023080018,68A1295935A,FLEXIBLE SECTION ASSY,Vỏ ống luồn
FMSV2023080018,23B8087081,ISA RING 2,Vòng sắt
FMSV2023080018,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023080018,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023080018,371Y200047_,Nozzle,Vòi phun
FMSV2023080018,317Y200048_,CAP(New　DTA),Nắp nhựa
FMSV2023080018,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023080018,56B11069912,BELT,dây đai
FMSV2023080020,10A1337010B,LG CONNECTOR,Đầu kết nối
FMSV2023080020,342A1318074E,BSA-C460A,Bộ phận uốn cong
FMSV2023080020,68B1207810A,RUBBER FOR BSA,Vỏ cao su
FMSV2023080020,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023080020,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023080020,68A1192810A,FCT-C310A,Kênh sinh thiết
FMSV2023080020,68B1140782A,PIPE ROHS,Ống nối (đồng)
FMSV2023080020,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023080020,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023080020,68B12541740,AIR WATER TUBE ROHS,Kênh khí nước
FMSV2023080020,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023080022,28A1259770C,IRIS ASSY,Bộ điều khiển ánh sáng
FMSV2023080024,370Y200639D,ISA-C692A,Bộ phận thân ống soi
FMSV2023080024,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023080024,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023080024,56B11069912,BELT,dây đai
FMSV2023080024,42B12891190,SLIDE SLEEVE,Ống nối
